sample	tissue	nucl	subject	pool_id	side	part	rpm	rpm_ratio
M135_LIV_1_RNA	LIV	RNA	M135	1		1.0	2138.305714285714	1.4335142857142857
M135_LIV_1_RNA	LIV	RNA	M135	2		1.0	1413.5257142857142	0.9577485714285714
M135_LIV_1_RNA	LIV	RNA	M135	3		1.0	1273.1457142857143	0.9954742857142858
M135_LIV_1_RNA	LIV	RNA	M135	4		1.0	1245.14	1.3248857142857144
M135_LIV_1_RNA	LIV	RNA	M135	5		1.0	897.4714285714284	0.9572285714285714
M135_LIV_1_RNA	LIV	RNA	M135	6		1.0	1040.8114285714285	0.8446885714285715
M135_LIV_1_RNA	LIV	RNA	M135	7		1.0	433.71999999999997	0.43957142857142883
M135_LIV_1_RNA	LIV	RNA	M135	8		1.0	1223.2714285714283	0.9100942857142857
M135_LIV_1_RNA	LIV	RNA	M135	9		1.0	298.2577142857142	0.24146571428571434
M135_LIV_1_RNA	LIV	RNA	M135	10		1.0	1322.9828571428568	0.8939742857142858
M135_LIV_1_RNA	LIV	RNA	M135	11		1.0	1809.0742857142857	1.2333771428571427
M135_LIV_1_RNA	LIV	RNA	M135	12		1.0	1244.4514285714283	1.0459542857142858
M135_LIV_1_RNA	LIV	RNA	M135	13		1.0	1943.1771428571428	1.3128285714285715
M135_LIV_1_RNA	LIV	RNA	M135	14		1.0	929.7114285714287	0.9209714285714287
M135_LIV_1_RNA	LIV	RNA	M135	15		1.0	0.0	0.0
M135_LIV_1_RNA	LIV	RNA	M135	16		1.0	429.8731428571429	0.3239114285714286
M135_LIV_1_RNA	LIV	RNA	M135	18		1.0	3403.714285714286	2.194571428571429
M135_LIV_2_RNA	LIV	RNA	M135	1		2.0	2143.7057142857143	1.4215714285714283
M135_LIV_2_RNA	LIV	RNA	M135	2		2.0	1461.3971428571424	0.9802400000000003
M135_LIV_2_RNA	LIV	RNA	M135	3		2.0	1258.1285714285716	0.9910171428571427
M135_LIV_2_RNA	LIV	RNA	M135	4		2.0	1223.0714285714287	1.281257142857143
M135_LIV_2_RNA	LIV	RNA	M135	5		2.0	912.6171428571428	0.9606342857142854
M135_LIV_2_RNA	LIV	RNA	M135	6		2.0	1029.2885714285715	0.8278742857142857
M135_LIV_2_RNA	LIV	RNA	M135	7		2.0	440.1857142857143	0.4436942857142858
M135_LIV_2_RNA	LIV	RNA	M135	8		2.0	1250.7085714285713	0.9331828571428572
M135_LIV_2_RNA	LIV	RNA	M135	9		2.0	309.3419999999999	0.24296
M135_LIV_2_RNA	LIV	RNA	M135	10		2.0	1355.2771428571427	0.9118399999999999
M135_LIV_2_RNA	LIV	RNA	M135	11		2.0	1804.345714285714	1.2322857142857147
M135_LIV_2_RNA	LIV	RNA	M135	12		2.0	1254.1685714285716	1.04902
M135_LIV_2_RNA	LIV	RNA	M135	13		2.0	1931.4199999999998	1.2985142857142857
M135_LIV_2_RNA	LIV	RNA	M135	14		2.0	918.1857142857141	0.9151371428571429
M135_LIV_2_RNA	LIV	RNA	M135	15		2.0	0.0	0.0
M135_LIV_2_RNA	LIV	RNA	M135	16		2.0	433.53085714285714	0.32318571428571435
M135_LIV_2_RNA	LIV	RNA	M135	18		2.0	3443.0	2.208114285714286
M135_LIV_3_RNA	LIV	RNA	M135	1		3.0	2154.2514285714287	1.4185714285714284
M135_LIV_3_RNA	LIV	RNA	M135	2		3.0	1516.0514285714287	1.0114057142857142
M135_LIV_3_RNA	LIV	RNA	M135	3		3.0	1240.0685714285712	0.9537599999999999
M135_LIV_3_RNA	LIV	RNA	M135	4		3.0	1185.4	1.194874285714286
M135_LIV_3_RNA	LIV	RNA	M135	5		3.0	930.9142857142855	0.9587085714285717
M135_LIV_3_RNA	LIV	RNA	M135	6		3.0	1080.694285714286	0.8639199999999999
M135_LIV_3_RNA	LIV	RNA	M135	7		3.0	393.2771428571428	0.3634085714285714
M135_LIV_3_RNA	LIV	RNA	M135	8		3.0	1214.0142857142862	0.8930371428571428
M135_LIV_3_RNA	LIV	RNA	M135	9		3.0	287.82	0.18147142857142856
M135_LIV_3_RNA	LIV	RNA	M135	10		3.0	1411.3942857142856	0.9500371428571427
M135_LIV_3_RNA	LIV	RNA	M135	11		3.0	1801.5000000000002	1.2351200000000002
M135_LIV_3_RNA	LIV	RNA	M135	12		3.0	1230.6428571428573	1.0069657142857142
M135_LIV_3_RNA	LIV	RNA	M135	13		3.0	1960.0057142857142	1.301122857142857
M135_LIV_3_RNA	LIV	RNA	M135	14		3.0	930.9057142857142	0.8796885714285716
M135_LIV_3_RNA	LIV	RNA	M135	15		3.0	0.0	0.0
M135_LIV_3_RNA	LIV	RNA	M135	16		3.0	386.91714285714284	0.23748000000000005
M135_LIV_3_RNA	LIV	RNA	M135	18		3.0	3418.9714285714285	2.2074
M135_LIV_4_RNA	LIV	RNA	M135	1		4.0	2109.117142857143	1.4240000000000002
M135_LIV_4_RNA	LIV	RNA	M135	2		4.0	1410.8742857142854	0.9723257142857147
M135_LIV_4_RNA	LIV	RNA	M135	3		4.0	1246.834285714286	0.9891771428571428
M135_LIV_4_RNA	LIV	RNA	M135	4		4.0	1214.3085714285712	1.3157714285714284
M135_LIV_4_RNA	LIV	RNA	M135	5		4.0	878.8142857142856	0.9297114285714284
M135_LIV_4_RNA	LIV	RNA	M135	6		4.0	1055.6914285714288	0.8613714285714285
M135_LIV_4_RNA	LIV	RNA	M135	7		4.0	462.4025714285713	0.46374000000000015
M135_LIV_4_RNA	LIV	RNA	M135	8		4.0	1206.1914285714286	0.9369571428571432
M135_LIV_4_RNA	LIV	RNA	M135	9		4.0	315.81428571428575	0.26218285714285716
M135_LIV_4_RNA	LIV	RNA	M135	10		4.0	1334.1742857142856	0.9134600000000002
M135_LIV_4_RNA	LIV	RNA	M135	11		4.0	1808.662857142857	1.2687714285714282
M135_LIV_4_RNA	LIV	RNA	M135	12		4.0	1290.4171428571428	1.1083485714285717
M135_LIV_4_RNA	LIV	RNA	M135	13		4.0	1923.8857142857144	1.3014571428571433
M135_LIV_4_RNA	LIV	RNA	M135	14		4.0	885.6771428571428	0.9185485714285716
M135_LIV_4_RNA	LIV	RNA	M135	15		4.0	0.0	0.0
M135_LIV_4_RNA	LIV	RNA	M135	16		4.0	435.4937142857143	0.3350771428571428
M135_LIV_4_RNA	LIV	RNA	M135	18		4.0	3355.2285714285713	2.1847999999999996
M135_L_AB_RNA	AB	RNA	M135	1	L		514.2542857142859	0.35122285714285706
M135_L_AB_RNA	AB	RNA	M135	2	L		2312.3314285714287	1.5785428571428572
M135_L_AB_RNA	AB	RNA	M135	3	L		1595.8285714285714	1.2646857142857146
M135_L_AB_RNA	AB	RNA	M135	4	L		1169.0914285714284	1.2596
M135_L_AB_RNA	AB	RNA	M135	5	L		1492.0714285714287	1.5860285714285716
M135_L_AB_RNA	AB	RNA	M135	6	L		1022.5314285714285	0.8295057142857143
M135_L_AB_RNA	AB	RNA	M135	7	L		1051.9314285714286	1.0614085714285715
M135_L_AB_RNA	AB	RNA	M135	8	L		2677.197142857143	2.0488857142857144
M135_L_AB_RNA	AB	RNA	M135	9	L		383.47142857142865	0.3140828571428572
M135_L_AB_RNA	AB	RNA	M135	10	L		1703.0171428571425	1.1608485714285715
M135_L_AB_RNA	AB	RNA	M135	11	L		2184.8971428571426	1.5239428571428573
M135_L_AB_RNA	AB	RNA	M135	12	L		1349.445714285714	1.149797142857143
M135_L_AB_RNA	AB	RNA	M135	13	L		2421.7457142857143	1.6361999999999999
M135_L_AB_RNA	AB	RNA	M135	14	L		842.5971428571429	0.8700342857142856
M135_L_AB_RNA	AB	RNA	M135	15	L		0.0	0.0
M135_L_AB_RNA	AB	RNA	M135	16	L		122.9837142857143	0.09326457142857142
M135_L_AB_RNA	AB	RNA	M135	18	L		108.82857142857142	0.07071485714285712
M135_L_BIC_RNA	BIC	RNA	M135	1	L		454.9371428571429	0.30624285714285715
M135_L_BIC_RNA	BIC	RNA	M135	2	L		2491.597142857143	1.6837428571428574
M135_L_BIC_RNA	BIC	RNA	M135	3	L		1338.22	1.0498857142857139
M135_L_BIC_RNA	BIC	RNA	M135	4	L		1424.4628571428575	1.4996285714285713
M135_L_BIC_RNA	BIC	RNA	M135	5	L		1014.3885714285711	1.0697457142857145
M135_L_BIC_RNA	BIC	RNA	M135	6	L		1080.9314285714288	0.8616914285714287
M135_L_BIC_RNA	BIC	RNA	M135	7	L		805.0514285714285	0.8062714285714286
M135_L_BIC_RNA	BIC	RNA	M135	8	L		2852.5914285714284	2.143057142857143
M135_L_BIC_RNA	BIC	RNA	M135	9	L		358.72857142857134	0.2880685714285714
M135_L_BIC_RNA	BIC	RNA	M135	10	L		2075.46	1.4004857142857146
M135_L_BIC_RNA	BIC	RNA	M135	11	L		2013.7885714285717	1.3684857142857143
M135_L_BIC_RNA	BIC	RNA	M135	12	L		1487.9342857142856	1.2483428571428574
M135_L_BIC_RNA	BIC	RNA	M135	13	L		2699.2485714285713	1.813257142857143
M135_L_BIC_RNA	BIC	RNA	M135	14	L		982.3828571428572	0.9741399999999999
M135_L_BIC_RNA	BIC	RNA	M135	15	L		0.0	0.0
M135_L_BIC_RNA	BIC	RNA	M135	16	L		198.05742857142857	0.14852742857142856
M135_L_BIC_RNA	BIC	RNA	M135	18	L		28.810000000000002	0.016637142857142854
M135_L_GA_RNA	GA	RNA	M135	1	L		617.4342857142856	0.4134914285714285
M135_L_GA_RNA	GA	RNA	M135	2	L		2207.98	1.4975428571428573
M135_L_GA_RNA	GA	RNA	M135	3	L		1556.2628571428572	1.2324285714285719
M135_L_GA_RNA	GA	RNA	M135	4	L		1307.5914285714282	1.4206285714285718
M135_L_GA_RNA	GA	RNA	M135	5	L		1350.2914285714285	1.4286571428571428
M135_L_GA_RNA	GA	RNA	M135	6	L		933.0342857142857	0.7569085714285716
M135_L_GA_RNA	GA	RNA	M135	7	L		883.8428571428572	0.888954285714286
M135_L_GA_RNA	GA	RNA	M135	8	L		2748.562857142857	2.0867428571428572
M135_L_GA_RNA	GA	RNA	M135	9	L		280.73057142857135	0.22562000000000001
M135_L_GA_RNA	GA	RNA	M135	10	L		1844.4742857142858	1.253942857142857
M135_L_GA_RNA	GA	RNA	M135	11	L		2321.597142857143	1.6230571428571432
M135_L_GA_RNA	GA	RNA	M135	12	L		1224.3	1.0166485714285713
M135_L_GA_RNA	GA	RNA	M135	13	L		2917.9714285714285	1.9756857142857143
M135_L_GA_RNA	GA	RNA	M135	14	L		693.9682857142856	0.6937057142857144
M135_L_GA_RNA	GA	RNA	M135	15	L		0.0	0.0
M135_L_GA_RNA	GA	RNA	M135	16	L		189.62857142857146	0.145518
M135_L_GA_RNA	GA	RNA	M135	18	L		89.01714285714286	0.059326285714285734
M135_L_HAM_1_RNA	HAM	RNA	M135	1	L	1.0	420.66857142857157	0.2819057142857142
M135_L_HAM_1_RNA	HAM	RNA	M135	2	L	1.0	2340.362857142857	1.5843428571428568
M135_L_HAM_1_RNA	HAM	RNA	M135	3	L	1.0	1588.142857142857	1.2494857142857145
M135_L_HAM_1_RNA	HAM	RNA	M135	4	L	1.0	1271.4514285714286	1.3817142857142852
M135_L_HAM_1_RNA	HAM	RNA	M135	5	L	1.0	1192.3314285714282	1.2837714285714283
M135_L_HAM_1_RNA	HAM	RNA	M135	6	L	1.0	990.5542857142858	0.8027314285714285
M135_L_HAM_1_RNA	HAM	RNA	M135	7	L	1.0	1006.7142857142859	1.0050114285714284
M135_L_HAM_1_RNA	HAM	RNA	M135	8	L	1.0	2838.6	2.1587428571428573
M135_L_HAM_1_RNA	HAM	RNA	M135	9	L	1.0	343.53142857142853	0.2837228571428571
M135_L_HAM_1_RNA	HAM	RNA	M135	10	L	1.0	1831.7914285714285	1.241022857142857
M135_L_HAM_1_RNA	HAM	RNA	M135	11	L	1.0	2323.7257142857143	1.6234285714285712
M135_L_HAM_1_RNA	HAM	RNA	M135	12	L	1.0	1211.5399999999997	1.0263714285714287
M135_L_HAM_1_RNA	HAM	RNA	M135	13	L	1.0	2753.1685714285713	1.8519428571428571
M135_L_HAM_1_RNA	HAM	RNA	M135	14	L	1.0	671.5271428571428	0.6693742857142856
M135_L_HAM_1_RNA	HAM	RNA	M135	15	L	1.0	0.0	0.0
M135_L_HAM_1_RNA	HAM	RNA	M135	16	L	1.0	219.24599999999995	0.16844857142857145
M135_L_HAM_1_RNA	HAM	RNA	M135	18	L	1.0	67.46228571428573	0.041518
M135_L_HAM_2_RNA	HAM	RNA	M135	1	L	2.0	689.2142857142859	0.4718599999999999
M135_L_HAM_2_RNA	HAM	RNA	M135	2	L	2.0	2224.2885714285717	1.5274285714285714
M135_L_HAM_2_RNA	HAM	RNA	M135	3	L	2.0	1541.3371428571427	1.2312285714285713
M135_L_HAM_2_RNA	HAM	RNA	M135	4	L	2.0	1238.3657142857146	1.349485714285714
M135_L_HAM_2_RNA	HAM	RNA	M135	5	L	2.0	1390.9799999999998	1.4859714285714285
M135_L_HAM_2_RNA	HAM	RNA	M135	6	L	2.0	1061.517142857143	0.8624542857142857
M135_L_HAM_2_RNA	HAM	RNA	M135	7	L	2.0	947.0257142857146	0.9484285714285714
M135_L_HAM_2_RNA	HAM	RNA	M135	8	L	2.0	2578.0142857142855	1.987
M135_L_HAM_2_RNA	HAM	RNA	M135	9	L	2.0	341.58628571428585	0.2764514285714286
M135_L_HAM_2_RNA	HAM	RNA	M135	10	L	2.0	1818.3771428571429	1.2444285714285714
M135_L_HAM_2_RNA	HAM	RNA	M135	11	L	2.0	2125.22	1.4790857142857143
M135_L_HAM_2_RNA	HAM	RNA	M135	12	L	2.0	1350.7457142857145	1.143725714285714
M135_L_HAM_2_RNA	HAM	RNA	M135	13	L	2.0	2511.3399999999997	1.6792285714285715
M135_L_HAM_2_RNA	HAM	RNA	M135	14	L	2.0	902.3857142857141	0.9257285714285712
M135_L_HAM_2_RNA	HAM	RNA	M135	15	L	2.0	0.0	0.0
M135_L_HAM_2_RNA	HAM	RNA	M135	16	L	2.0	144.50942857142857	0.11167085714285717
M135_L_HAM_2_RNA	HAM	RNA	M135	18	L	2.0	101.46285714285719	0.06677942857142856
M135_L_PM_RNA	PM	RNA	M135	1	L		563.2171428571428	0.38838
M135_L_PM_RNA	PM	RNA	M135	2	L		2015.2114285714283	1.3992857142857142
M135_L_PM_RNA	PM	RNA	M135	3	L		1210.0142857142857	0.9649857142857143
M135_L_PM_RNA	PM	RNA	M135	4	L		1306.5114285714287	1.410702857142857
M135_L_PM_RNA	PM	RNA	M135	5	L		1013.9571428571429	1.0840028571428568
M135_L_PM_RNA	PM	RNA	M135	6	L		950.1342857142859	0.7828199999999998
M135_L_PM_RNA	PM	RNA	M135	7	L		887.9628571428573	0.8827742857142855
M135_L_PM_RNA	PM	RNA	M135	8	L		2777.582857142857	2.1466
M135_L_PM_RNA	PM	RNA	M135	9	L		369.7700000000001	0.2956057142857143
M135_L_PM_RNA	PM	RNA	M135	10	L		1914.405714285714	1.2921142857142855
M135_L_PM_RNA	PM	RNA	M135	11	L		2152.945714285714	1.4935142857142856
M135_L_PM_RNA	PM	RNA	M135	12	L		1498.2371428571432	1.2801857142857138
M135_L_PM_RNA	PM	RNA	M135	13	L		3098.4285714285716	2.099285714285714
M135_L_PM_RNA	PM	RNA	M135	14	L		916.4999999999999	0.9456942857142855
M135_L_PM_RNA	PM	RNA	M135	15	L		1.5565714285714287	0.0031265714285714286
M135_L_PM_RNA	PM	RNA	M135	16	L		168.19085714285714	0.1279582857142857
M135_L_PM_RNA	PM	RNA	M135	18	L		93.23171428571428	0.06086314285714286
M135_L_QUA_RNA	QUA	RNA	M135	1	L		423.28571428571433	0.2792971428571429
M135_L_QUA_RNA	QUA	RNA	M135	2	L		2393.2257142857143	1.621685714285714
M135_L_QUA_RNA	QUA	RNA	M135	3	L		1763.1114285714286	1.3721428571428569
M135_L_QUA_RNA	QUA	RNA	M135	4	L		1207.4828571428573	1.2747857142857146
M135_L_QUA_RNA	QUA	RNA	M135	5	L		1329.8428571428572	1.407571428571428
M135_L_QUA_RNA	QUA	RNA	M135	6	L		942.08	0.7607628571428572
M135_L_QUA_RNA	QUA	RNA	M135	7	L		1171.6285714285711	1.171894285714286
M135_L_QUA_RNA	QUA	RNA	M135	8	L		2833.2571428571428	2.1154571428571427
M135_L_QUA_RNA	QUA	RNA	M135	9	L		265.6105714285714	0.20913999999999996
M135_L_QUA_RNA	QUA	RNA	M135	10	L		1792.7342857142858	1.2097314285714287
M135_L_QUA_RNA	QUA	RNA	M135	11	L		2565.437142857143	1.759485714285714
M135_L_QUA_RNA	QUA	RNA	M135	12	L		1180.8028571428572	0.985354285714286
M135_L_QUA_RNA	QUA	RNA	M135	13	L		2544.974285714286	1.7100857142857142
M135_L_QUA_RNA	QUA	RNA	M135	14	L		523.356857142857	0.5161114285714284
M135_L_QUA_RNA	QUA	RNA	M135	15	L		0.0	0.0
M135_L_QUA_RNA	QUA	RNA	M135	16	L		157.3748571428571	0.113926
M135_L_QUA_RNA	QUA	RNA	M135	18	L		114.28571428571426	0.07054571428571427
M135_L_TA_RNA	TA	RNA	M135	1	L		675.1999999999999	0.45748285714285714
M135_L_TA_RNA	TA	RNA	M135	2	L		2044.837142857143	1.3858857142857142
M135_L_TA_RNA	TA	RNA	M135	3	L		1587.4514285714286	1.2465428571428572
M135_L_TA_RNA	TA	RNA	M135	4	L		1321.577142857143	1.4226285714285714
M135_L_TA_RNA	TA	RNA	M135	5	L		1315.6371428571429	1.3924857142857145
M135_L_TA_RNA	TA	RNA	M135	6	L		822.3171428571426	0.6608542857142857
M135_L_TA_RNA	TA	RNA	M135	7	L		834.5885714285713	0.8483342857142856
M135_L_TA_RNA	TA	RNA	M135	8	L		2812.194285714286	2.141857142857143
M135_L_TA_RNA	TA	RNA	M135	9	L		216.42714285714283	0.17601257142857143
M135_L_TA_RNA	TA	RNA	M135	10	L		1915.4085714285711	1.2958171428571426
M135_L_TA_RNA	TA	RNA	M135	11	L		2464.562857142857	1.717428571428571
M135_L_TA_RNA	TA	RNA	M135	12	L		1122.317142857143	0.947105714285714
M135_L_TA_RNA	TA	RNA	M135	13	L		3067.342857142857	2.058
M135_L_TA_RNA	TA	RNA	M135	14	L		559.6685714285713	0.5643285714285714
M135_L_TA_RNA	TA	RNA	M135	15	L		0.7662857142857143	0.0010962857142857144
M135_L_TA_RNA	TA	RNA	M135	16	L		145.76657142857138	0.11797342857142859
M135_L_TA_RNA	TA	RNA	M135	18	L		56.873428571428576	0.036052
M135_L_TRI_1_RNA	TRI	RNA	M135	1	L	1.0	390.1685714285714	0.26749428571428574
M135_L_TRI_1_RNA	TRI	RNA	M135	2	L	1.0	2036.9314285714288	1.3985142857142854
M135_L_TRI_1_RNA	TRI	RNA	M135	3	L	1.0	1455.6371428571429	1.157042857142857
M135_L_TRI_1_RNA	TRI	RNA	M135	4	L	1.0	1374.4685714285713	1.5061142857142857
M135_L_TRI_1_RNA	TRI	RNA	M135	5	L	1.0	1117.2114285714283	1.2026085714285712
M135_L_TRI_1_RNA	TRI	RNA	M135	6	L	1.0	872.4971428571428	0.7093914285714287
M135_L_TRI_1_RNA	TRI	RNA	M135	7	L	1.0	787.5942857142859	0.7919657142857142
M135_L_TRI_1_RNA	TRI	RNA	M135	8	L	1.0	2845.3142857142857	2.207028571428571
M135_L_TRI_1_RNA	TRI	RNA	M135	9	L	1.0	206.84114285714287	0.17051742857142857
M135_L_TRI_1_RNA	TRI	RNA	M135	10	L	1.0	1859.297142857143	1.2739714285714285
M135_L_TRI_1_RNA	TRI	RNA	M135	11	L	1.0	2451.322857142857	1.7224285714285716
M135_L_TRI_1_RNA	TRI	RNA	M135	12	L	1.0	1282.6257142857144	1.0825857142857143
M135_L_TRI_1_RNA	TRI	RNA	M135	13	L	1.0	3437.057142857143	2.323114285714286
M135_L_TRI_1_RNA	TRI	RNA	M135	14	L	1.0	613.9342857142858	0.6445399999999999
M135_L_TRI_1_RNA	TRI	RNA	M135	15	L	1.0	0.0	0.0
M135_L_TRI_1_RNA	TRI	RNA	M135	16	L	1.0	168.1294285714286	0.13258285714285717
M135_L_TRI_1_RNA	TRI	RNA	M135	18	L	1.0	22.799428571428567	0.01507857142857143
M135_L_TRI_2_RNA	TRI	RNA	M135	1	L	2.0	374.65999999999997	0.25352571428571435
M135_L_TRI_2_RNA	TRI	RNA	M135	2	L	2.0	2075.5485714285714	1.4122571428571424
M135_L_TRI_2_RNA	TRI	RNA	M135	3	L	2.0	1528.6485714285714	1.2040285714285714
M135_L_TRI_2_RNA	TRI	RNA	M135	4	L	2.0	1327.2714285714285	1.4151428571428575
M135_L_TRI_2_RNA	TRI	RNA	M135	5	L	2.0	1145.837142857143	1.2353285714285713
M135_L_TRI_2_RNA	TRI	RNA	M135	6	L	2.0	843.5885714285714	0.6885628571428571
M135_L_TRI_2_RNA	TRI	RNA	M135	7	L	2.0	833.3628571428574	0.8310857142857141
M135_L_TRI_2_RNA	TRI	RNA	M135	8	L	2.0	2837.622857142857	2.186885714285714
M135_L_TRI_2_RNA	TRI	RNA	M135	9	L	2.0	212.14600000000004	0.17288342857142855
M135_L_TRI_2_RNA	TRI	RNA	M135	10	L	2.0	1831.0342857142857	1.2505428571428574
M135_L_TRI_2_RNA	TRI	RNA	M135	11	L	2.0	2594.8199999999997	1.7899142857142853
M135_L_TRI_2_RNA	TRI	RNA	M135	12	L	2.0	1212.082857142857	1.0284314285714287
M135_L_TRI_2_RNA	TRI	RNA	M135	13	L	2.0	3403.4	2.282428571428571
M135_L_TRI_2_RNA	TRI	RNA	M135	14	L	2.0	555.8857142857142	0.5781142857142857
M135_L_TRI_2_RNA	TRI	RNA	M135	15	L	2.0	0.0	0.0
M135_L_TRI_2_RNA	TRI	RNA	M135	16	L	2.0	172.2111428571429	0.13714314285714285
M135_L_TRI_2_RNA	TRI	RNA	M135	18	L	2.0	36.518	0.022163714285714287
M135_R_AB_RNA	AB	RNA	M135	1	R		459.47714285714284	0.3091657142857143
M135_R_AB_RNA	AB	RNA	M135	2	R		2288.76	1.5729714285714287
M135_R_AB_RNA	AB	RNA	M135	3	R		1585.1714285714286	1.2526857142857144
M135_R_AB_RNA	AB	RNA	M135	4	R		1190.1485714285714	1.2919428571428575
M135_R_AB_RNA	AB	RNA	M135	5	R		1343.5628571428572	1.4334285714285717
M135_R_AB_RNA	AB	RNA	M135	6	R		1085.1371428571426	0.87848
M135_R_AB_RNA	AB	RNA	M135	7	R		1056.6514285714284	1.0672800000000002
M135_R_AB_RNA	AB	RNA	M135	8	R		2663.397142857143	2.0488000000000004
M135_R_AB_RNA	AB	RNA	M135	9	R		428.1171428571428	0.3485657142857143
M135_R_AB_RNA	AB	RNA	M135	10	R		1752.6742857142856	1.1978885714285712
M135_R_AB_RNA	AB	RNA	M135	11	R		2171.3257142857146	1.5102857142857142
M135_R_AB_RNA	AB	RNA	M135	12	R		1363.8971428571426	1.1629371428571427
M135_R_AB_RNA	AB	RNA	M135	13	R		2469.2	1.6662857142857144
M135_R_AB_RNA	AB	RNA	M135	14	R		838.3628571428573	0.8468714285714285
M135_R_AB_RNA	AB	RNA	M135	15	R		0.0	0.0
